Year,LGC price,LGC percentage,STC price,STC percentage
,Central,Central,Central,Central
2020,39.7,0.1896,40,0.1629
2021,40,0.1896,40,0.1629
2022,48.5,0.1896,40,0.1629
2023,58.4,0.1896,40,0.1629
2024,48.35,0.1896,40,0.1629
2025,44.83,0.1896,40,0.1629
2026,37.33,0.1896,40,0.1629
2027,31.33,0.1896,40,0.1629
2028,30.54,0.1896,40,0.1629
2029,24.22,0.1896,40,0.1629
2030,22.22,0.1896,40,0.1629
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0
2051,0,0,0,0
2052,0,0,0,0
2053,0,0,0,0
2054,0,0,0,0
2055,0,0,0,0
2056,0,0,0,0
2057,0,0,0,0
2058,0,0,0,0
2059,0,0,0,0
2060,0,0,0,0
